Year,Pink_hatchery,SST_CDD_GOA,Chum_hatchery,full_index_scale,brood_year
2000,1370461.454,877.28,2839454.354,NA,1998
2001,1368424.563,1031.88,2716142.721,NA,1999
2002,1451904.899,868.9,2813583.425,NA,2000
2003,1358765.297,1103.99,2848431.196,0,2001
2004,1419305.392,930.37,2914811.407,0.21039223413321317,2002
2005,1244010.796,1017.27,2995943.659,-0.3482067753175793,2003
2006,1305719.28,920.87,2875870.5386508987,1.0152306276094771,2004
2007,1425977.753,732.67,3087684.223,1.336641867310062,2005
2008,1387917.342,765.74,3083805.326,0.005777450430879546,2006
2009,1333956.149,786.65,3014869.26,0,2007
2010,1444514.169,920.33,3177015.37,1.270135705933539,2008
2011,1383925.753,864.21,3073099.188,0.1445943971388163,2009
2012,1336568.919,723.8,3107098.373,-0.3183982802658475,2010
2013,1254192.188,843.71,3114490.782,1.2802386258730618,2011
2014,1508701.924,1002.56,3256018.4,0.6786702951708827,2012
2015,1363878.918,1130.93,3222922.492,0,2013
2016,1226929.152,1205.52,3354594.669,-1.0805806604246637,2014
2017,1248387.524,1004.23,3257716.294,-1.553607230649424,2015
2018,1436444.472,1001.32,3017489.923,-0.54381685284713,2016
2019,1356794.83,1147.12,3525450.225,-0.5744935375246336,2017
2020,1278101.35,969.39,3215999.428,-1.8085193480326824,2018
2021,1226564.647,969.34,3305286.0692,0,2019
2022,1398793.869,935.89,2970483.054,1.0549087744055226,2020
2023,1353488.733478261,885.8,3077750.46116743,0,2021
