brood_year,age3,age4,age5,age6,id
1972,NA,NA,NA,7193.2063684,summer
1973,NA,NA,308985.0576364,7105.9056882,summer
1974,NA,1266573.2782084,353339.98860290006,5429.7385393,summer
1975,46448.459416,863208.7330465999,188263.2307568,32520.144658399997,summer
1976,70445.3726623,1515022.6079357,2313492.3154252004,23919.9965872,summer
1977,16184.422768199998,1708954.6062808002,391660.9071184,16319.473631,summer
1978,10232.9336356,845687.8203504,564514.8421515,16862.016534000002,summer
1979,45931.275944,756567.5559865001,572560.717667,34576.7948955,summer
1980,19098.1268745,2162069.693063,994958.7115542,44187.684382499996,summer
1981,61507.572736,2558325.1412538,2084597.138955,62764.57242900001,summer
1982,48439.3522965,1153163.6261850002,372690.5778015,24833.019481800002,summer
1983,10551.5504775,711141.3562836,727933.4345322,11363.416069500001,summer
1984,9303.4934859,2153794.2528887996,1410468.516853,34491.844379300004,summer
1985,16039.293097200001,930725.76443,659427.2700048,13674.3497649,summer
1986,17942.3026475,674782.1701027,1047508.9352937001,83271.7699974,summer
1987,16198.7168981,974898.9246249,1444618.7247239999,50564.6709563,summer
1988,13217.790316499999,718292.9935296,611238.3809917,48447.806182500004,summer
1989,2016.5139972000002,991437.6539551,2066374.699749,100485.0628287,summer
1990,10059.294096900001,1444148.3335463998,1465113.5313276,126248.091588,summer
1991,2929.164084,1944379.3907604,1670918.4234119998,49923.68498400001,summer
1992,77122.01508330001,1988438.854992,883811.6405007999,20440.50455892,summer
1993,18394.626204,437003.550544,214827.13099905002,14317.4269504,summer
1994,3661.1239712,661968.39767019,619615.6620844001,9821.372855200001,summer
1995,753.96677184,412301.8263424,190099.87396661,12530.193802,summer
1996,565.083576,278581.94932949,369271.97715282,30172.467267,summer
1997,2866.8038487,101025.40442400001,373932.629281,22543.3659359,summer
1998,1152.4246211799998,769614.7554172,301652.71770150005,5287.491788400001,summer
1999,15680.148034799999,845041.3727610001,595387.6561321999,13292.7727819,summer
2000,13862.5424185,713903.4767532,181612.2592232,1172.1236434999616,summer
2001,52321.375326199995,2445518.3310901,2687912.4169509998,180726.59049119998,summer
2002,876.6369047999999,1120129.0015240002,668889.4889448,89819.1105555,summer
2003,27286.461718,1012377.3274656001,967601.9419861,37774.3143104,summer
2004,20806.5930984,766487.2773952,520481.2525504,6594.2119522,summer
2005,23991.671911100002,868668.0273728,206646.78530470002,19055.794381,summer
2006,38676.407232000005,1043443.8518065,1042309.8332977999,69480.040812,summer
2007,112615.1509366,977777.7394204,479068.8668003,34064.0712572,summer
2008,14156.632900800001,1498694.0265982999,1557349.1098179999,112057.552803,summer
2009,10057.0657894,1180253.1088096001,1055393.584854,21183.2545188,summer
2010,733.7101151999999,695849.376747,899012.4649836,46373.4866595,summer
2011,5699.4855959999995,597740.2040368001,593518.2859648,37944.980493200004,summer
2012,35264.076460799995,1212669.0352399,1307979.1338811999,36851.214039,summer
2013,17139.1902661,1649074.3946379998,564844.150734,12947.6468626,summer
2014,10201.4909876,821681.248695,449272.0462722,7075.924774470001,summer
2015,13623.385095000001,936422.2210973,555104.60070479,4337.6606592,summer
2016,7058.0857679,144389.47452074,24239.868280320003,645.2048148,summer
2017,0,125281.84515968,208401.18871299,7542.53606304,summer
2018,1020.62605568,261953.19684261002,282695.37162184,NA,summer
2019,1290.4096296,562118.92340152,NA,NA,summer
2020,17003.168913600002,NA,NA,NA,summer
